#;address;location;type;places;area;work_hours
44;Вул. Січеславська Набережна, в районі моста на Монастирський острів;48.464973, 35.072068;on_road_center;16;184;8.00 – 20.00, субота та неділя, святкові дні
45;Вул. Січеславська Набережна, в районі буд. № 19 А – 20;48.471935, 35.044029;on_road_center;40;460;8.00 – 20.00, субота та неділя, святкові дні
46;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 75;48.467015, 35.040467;on_road_center;25;287,5;8.00 – 20.00, щоденно
47;Вул. Святослава Хороброго (вул. Чкалова), на ділянці від вул. Короленка до вул. Троїцької;48.460160, 35.039766;on_road_center;10;115;8.00 – 20.00, щоденно, крім понеділка
48;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 1;48.462310, 35.050941;on_road_center;40;460;8.00 – 20.00, щоденно, крім суботи та неділі
49;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 22;48.457724, 35.059620;on_road_center;18;207;8.00 – 20.00, щоденно, крім суботи та неділі
50;Вул. Барикадна, в районі буд. № № 2 – 4;48.462155, 35.051592;on_road_center;26;299;8.00 – 20.00, щоденно
51;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 46;48.463439, 35.048768;on_road_center;23;264,5;8.00 – 20.00, щоденно
52;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 52;48.465182, 35.045482;on_road_center;16;184;8.00 – 20.00, щоденно
53;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 72 – 78;48.470284, 35.035861;on_road_center;40;460;8.00 – 20.00, щоденно
54;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № № 51 – 53 А;48.461905, 35.050183;on_road_center;18;207;8.00 – 20.00, щоденно
55;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 47;48.461413, 35.051082;on_road_center;24;276;8.00 – 20.00, щоденно
56;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 39;48.460103, 35.053608;on_road_center;14;161;8.00 – 20.00, щоденно
57;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 37;48.458890, 35.055901;on_road_center;25;287,5;8.00 – 20.00, щоденно, крім суботи та неділі
58;Просп. Дмитра Яворницького (просп. Карла Маркса), в районі буд. № 31;48.457439, 35.058638;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
59;Вул. Андрія Фабра (вул. Сєрова), в районі буд. № № 5 – 7;48.467642, 35.036810;on_road_center;18;207;8.00 – 20.00, щоденно, крім суботи та неділі
60;Вул. Воскресенська (вул. Леніна), в районі буд. № № 28 – 38;48.463933, 35.038100;on_road_center;20;230;8.00 – 20.00, щоденно, крім суботи та неділі
61;Вул. Воскресенська (вул. Леніна), в районі буд. № № 23 – 33;48.463835, 35.038315;on_road_center;30;345;8.00 – 20.00, щоденно, крім суботи та неділі
62;Вул. Воскресенська (вул. Леніна), в районі буд. № 21;48.464583, 35.039166;on_road_center;8;92;8.00 – 20.00, щоденно, крім суботи та неділі
63;Вул. Воскресенська (вул. Леніна), в районі буд. № № 12 – 17;48.467726, 35.041413;on_road_center;23;264,5;8.00 – 20.00, щоденно, крім суботи та неділі
64;Вул. Воскресенська (вул. Леніна), в районі буд. № 15;48.466117, 35.041051;on_road_center;9;103,5;8.00 – 20.00, щоденно, крім суботи та неділі
65;Вул. Воскресенська (вул. Леніна), в районі буд. № № 4 – 4 А;48.469474, 35.043082;on_road_center;10;115;8.00 – 20.00, щоденно, крім суботи та неділі
66;Вул. Короленка, в районі буд. № № 15 – 17;48.463429, 35.042122;on_road_center;16;184;8.00 – 20.00, щоденно, крім суботи та неділі
67;Вул. Короленка, в районі буд. № № 23 – 33;48.462314, 35.040747;on_road_center;26;299;8.00 – 20.00, щоденно, крім суботи та неділі
68;Вул. Троїцька (вул. Червона), в районі буд. № № 3 А – 3 Б;48.462271, 35.043296;on_road_center;10;115;8.00 – 20.00, щоденно, крім суботи та неділі
69;Вул. Троїцька (вул. Червона), в районі буд. № № 6 – 8;48.462569, 35.043404;on_road_center;14;161;8.00 – 20.00, щоденно, крім суботи та неділі
70;Вул. Троїцька (вул. Червона), в районі буд. № № 5 – 19;48.461341, 35.042203;on_road_center;26;299;8.00 – 20.00, щоденно, крім суботи та неділі
71;Вул. Троїцька (вул. Червона), в районі буд. № № 10 – 20;48.461144, 35.041740;on_road_center;28;322;8.00 – 20.00, щоденно, крім суботи та неділі
72;Вул. Михайла Грушевського (вул. Карла Лібкнехта), в районі буд. № 1;48.462548, 35.046578;on_road_center;22;253;8.00 – 20.00, щоденно, крім суботи та неділі
73;Вул. Михайла Грушевського (вул. Карла Лібкнехта), в районі буд. № 4 Б;48.461406, 35.044871;on_road_center;10;115;8.00 – 20.00, щоденно, крім суботи та неділі
74;Вул. Михайла Грушевського (вул. Карла Лібкнехта), в районі буд. № № 5/7 – 13;48.460538, 35.044147;on_road_center;41;471,5;8.00 – 20.00, щоденно, крім суботи та неділі
